"Order","Segment","Latitude","Longitude","Name","Address","Characters","Spots","Notes","GoogleMapsUrl"
"21","3","35.65850","139.69502","【21｜S3｜王子/試験関連】S-10〜11","東京都渋谷区円山町1-1","オウ＝ケンイほか / アモリ三兄弟ほか","SHIBUYA POSTER JACK S-10 / S-11","円山町側の端。戻りながら回収","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65850,139.69502"
"22","3","35.65868","139.69522","【22｜S3｜ピトー/ユピー/プフ】O-EAST前","東京都渋谷区道玄坂2丁目14-8","ネフェルピトー / モントゥトゥユピー / シャウアプフ","O-EAST前 壁面広告","3キャラ","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65868,139.69522"
"23","3","35.65878","139.69600","【23｜S3｜ノヴ/ウェルフィン】花菱ビル","東京都渋谷区道玄坂2丁目16-7","ノヴ / ウェルフィン","花菱ビル","道玄坂2-16-4と近い","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65878,139.69600"
"24","3","35.65888","139.69622","【24｜S3｜ネオン/ビヨンド/旅団】S-26/S-28/野村","東京都渋谷区道玄坂2丁目16-4","ネオン / ビヨンド / ノブナガ / ボノレノフ","SHIBUYA POSTER JACK S-26 / S-28 / 野村不動産渋谷道玄坂ビル","同一住所で3スポット","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65888,139.69622"
"25","3","35.65900","139.69670","【25｜S3｜カキン帝国王子】S-8","東京都渋谷区道玄坂2丁目13-5","カキン帝国王子","SHIBUYA POSTER JACK S-8","道玄坂を下りながら","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65900,139.69670"
"26","3","35.65918","139.69700","【26｜S3｜クロロ】S-7","東京都渋谷区道玄坂2丁目11-4","クロロ","SHIBUYA POSTER JACK S-7","JMFビルの手前","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65918,139.69700"
"27","3","35.65928","139.69720","【27｜S3｜十二支ん/バショウ/イカルゴ】S-6/JMF","東京都渋谷区道玄坂2-11-1","十二支ん メンバー / バショウ / イカルゴ","SHIBUYA POSTER JACK S-6 / JMFビル渋谷01 / JMFビル渋谷03","S-6の公式住所は道玄坂2-11、JMFは2-11-1。現地で隣接確認","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65928,139.69720"
"28","4","35.65734","139.69634","【28｜S4｜ナックル/シュート/パーム/メレオロン】S-29〜30","東京都渋谷区道玄坂1丁目18-8","ナックル / シュート / パーム / メレオロン","SHIBUYA POSTER JACK S-29〜30","マークシティ西側へ","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65734,139.69634"
"29","4","35.65842","139.69900","【29｜S4｜ウボォー/パクノダ/コルトピ/シャル】マークシティ","東京都渋谷区道玄坂1丁目12-1","ウボォーギン / パクノダ / コルトピ / シャルナーク","渋谷マークシティ ランタンディスプレイ / ランタン ディスプレイ","同一施設内。表記ゆれあり","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65842,139.69900"
"30","4","35.65792","139.70042","【30｜S4｜アルカ/ゾルディック家/ミルキ】紀伊國屋","東京都渋谷区道玄坂1丁目4-19","アルカ&ナニカ / ゾルディック家 / ミルキ","紀伊國屋書店 渋谷道玄坂店 店頭ガラス扉","駅へ戻る前の最後","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65792,139.70042"
"31","4","35.65895","139.70055","【31｜GOAL】渋谷駅","渋谷駅","-","ゴール","ここで終了","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65895,139.70055"
